PROTEIN;TOTAL_FAT;CARBS;ENERGY;FIBER;SATURATED_FAT;SUGARS;NUTRI_SCORE;CLASSIFICATION
2.56;1.28;15.38;83;2.6;0;8.97;4.40975;FALSE
0;4.17;30.56;167;0;0;27.78;0.37425;FALSE
3.33;53.33;3.33;500;0;10;3.33;0;FALSE
23.33;33.33;3.33;400;0;20;0;0.0665;FALSE
10.71;26.79;7.14;321;0;10.71;7.14;0.09875;FALSE
12.5;1.79;75;375;3.6;;5.36;6.51825;TRUE
11.5;4.42;4.42;106;0;3.1;3.54;4.9505;FALSE
4.62;6.15;78.46;400;4.6;0.77;33.85;0.628;FALSE
4.12;3.53;8.82;88;0;2.06;8.24;3.492;FALSE
3.03;12.12;31.82;242;0;7.58;22.73;0;FALSE
3.03;9.09;25.76;182;0;5.3;19.7;0.22;FALSE
3.03;10.61;27.27;212;0;6.06;18.18;0.0985;FALSE
0;0;66.67;333;16.7;;;8.25675;TRUE
3.33;0;6.67;33;3.3;0;3.33;5.65175;FALSE
0;0;71.43;357;0;0;28.57;0.62525;FALSE
0;0;71.43;357;0;0;28.57;0.62525;FALSE
11.43;4.29;42.86;257;5.7;0;8.57;6.07575;TRUE
1.18;0;3.53;18;1.2;0;0;5.4125;FALSE
26.67;46.67;20;600;10;6.67;3.33;4.0165;FALSE
15.38;0;69.23;346;7.7;0;7.69;7.607;TRUE
5;3;14;103;1;0;0;5.62425;FALSE
2;6;19;138;1;3;0;4.1155;FALSE
16.28;41.86;34.88;535;9.3;3.49;20.93;0.97025;FALSE
13;12;30;270;4;4.5;1;5.2075;FALSE
0;0;13.71;56;0.8;0;12.1;3.331;FALSE
0;0;15.08;63;1.6;0;10.32;3.75625;FALSE
0.79;0;14.29;56;0.8;0;12.7;3.3595;FALSE
0.79;0;14.29;56;0.8;0;12.7;3.3595;FALSE
11.67;16.67;1.67;200;0;5;1.67;3.533;FALSE
3.54;1.77;18.58;106;0;0.88;12.39;3.249;FALSE
21.43;50;21.43;607;10.7;7.14;3.57;2.88225;FALSE
6.67;33.33;46.67;467;6.7;30;33.33;0;FALSE
7.14;35.71;53.57;536;3.6;3.57;7.14;1.1225;FALSE
0;78.57;0;714;0;32.14;0;0;FALSE
14.29;14.29;71.43;429;0;0;0;5.60725;FALSE
5.26;0;78.95;368;5.3;0;5.26;5.968;FALSE
14.29;21.43;9.52;286;0;14.29;4.76;0.6425;FALSE
0;46.88;18.75;500;0;7.81;18.75;0;FALSE
1.54;0;18.46;85;0.8;0;6.92;4.33175;FALSE
3.85;5.38;10;100;3.8;1.15;0;5.487;FALSE
5;0.83;15.83;75;6.7;;1.67;6.73775;TRUE
7.05;28.22;59.96;529;3.5;5.29;3.53;1.95125;FALSE
7.81;18.75;46.88;391;1.6;9.38;7.81;1.00225;FALSE
40;30;0;400;0;20;0;2.9;FALSE
0.8;2.4;7.2;56;0;0.4;0.8;4.646;FALSE
12.5;6.25;67.5;375;10;0;2.5;7.78125;TRUE
0;0;66.67;333;16.7;0;0;8.25675;TRUE
1.6;2.4;8;56;0.8;0;6.4;4.186;FALSE
0;0;11.11;56;0;0;0;4.986;FALSE
2.86;0;80;286;11.4;0;62.86;0;FALSE
15.79;21.05;10.53;316;0;13.16;5.26;1.1055;FALSE
23.53;29.41;0;412;0;20.59;0;0.338;FALSE
10.81;2.7;8.11;108;0;0;2.7;5.9195;FALSE
14.29;14.29;71.43;429;0;0;0;5.60725;FALSE
14.29;14.29;71.43;429;0;0;0;5.60725;FALSE
6.1;5.63;7.51;103;0.9;2.11;1.41;4.76725;FALSE
0;0;15.08;63;0.8;0;11.9;3.35925;FALSE
1.18;5.88;27.06;165;1.2;0.59;8.24;3.40425;FALSE
1.18;5.88;20;141;1.2;0.59;1.18;4.46925;FALSE
21.43;32.14;3.57;393;0;10.71;0;2.22475;FALSE
4;0;44;200;8;0;4;6.55;TRUE
2;2;13;60;5;;4;5.485;FALSE
0;0;14.16;53;1.8;0;9.73;3.88725;FALSE
6.19;24.78;29.2;336;1.8;13.27;1.77;0.1435;FALSE
5.71;5.71;13.57;129;0.7;2.5;2.14;4.44725;FALSE
3;7;20;155;2;2;1;4.46125;FALSE
5.77;0;51.92;250;3.8;0;0;6.563;TRUE
6.25;56.25;21.88;581;15.6;50;5.94;0;FALSE
6.25;12.5;75;438;0;6.25;50;0;FALSE
6.67;20;66.67;467;0;10;46.67;0;FALSE
14.63;24.39;4.88;293;0;8.54;2.44;2.18125;FALSE
19.64;9.82;0;170;0;2.23;0;6.364;TRUE
2.78;16.67;52.78;361;2.8;1.39;38.89;0;FALSE
13.33;10;73.33;400;6.7;0;0;7.2395;TRUE
13.33;13.33;73.33;400;6.7;0;0;6.9065;TRUE
13.33;10;73.33;400;6.7;0;0;7.2395;TRUE
6.67;20;60;467;0;16.67;0;0;FALSE
14.29;21.43;64.29;500;0;14.29;0;1.303;FALSE
6.67;23.33;60;467;0;16.67;6.67;0;FALSE
6.67;26.67;60;467;0;20;0;0;FALSE
6.67;10;80;400;10;0;3.33;6.401;TRUE
8.57;2.86;80;371;5.7;0;34.29;1.90325;FALSE
8.57;5.71;77.14;371;5.7;0;34.29;1.61825;FALSE
3.57;35.71;57.14;571;3.6;8.93;0;0.30925;FALSE
7.6;2.8;6;80;1.2;0.8;0;5.88;FALSE
14.29;10.71;67.86;429;10.7;0;0;8.10525;TRUE
7.14;35.71;50;536;3.6;7.14;0;1.301;FALSE
3.57;32.14;57.14;536;10.7;1.79;7.14;2.809;FALSE
3.08;0.77;16.92;92;2.3;;0.77;5.7065;FALSE
25;32.14;0;357;0;21.43;0;0.08925;FALSE
25;32.14;3.57;393;0;21.43;0;0.08025;FALSE
0;20;6.67;200;0;3.33;0;2.1175;FALSE
0;26.67;6.67;267;0;3.33;0;1.43375;FALSE
0;26.67;6.67;267;0;3.33;0;1.43375;FALSE
14.29;1.79;73.21;375;3.6;0;1.79;7.32225;TRUE
9.65;7.89;23.68;202;0.9;0.88;2.63;5.1735;FALSE
10.71;25;57.14;500;7.1;7.14;21.43;0.402;FALSE
12.5;1.79;78.57;375;3.6;0;3.57;6.78675;TRUE
2.94;1.18;20.59;100;0.6;0.59;12.94;3.3295;FALSE
25;35.71;3.57;393;0;21.43;0;0;FALSE
14.29;5.36;71.43;357;3.6;0;7.14;6.16725;TRUE
4.27;5.13;41.88;239;0.9;1.28;13.68;2.87575;FALSE
26.67;1.67;10;167;3.3;0;3.33;8.95225;TRUE
14.29;0;12.5;107;5.4;0;1.79;7.92825;TRUE
0;0;10.83;38;3.3;0;5.83;4.776;FALSE
0.79;0;8.66;35;2.4;0;2.36;5.23575;FALSE
10.13;5.7;50.63;291;2.5;1.9;3.8;5.33175;FALSE
2.65;13.27;42.48;276;0.9;6.19;0;2.634;FALSE
2.65;15.04;42.48;301;1.8;7.96;7.08;1.12625;FALSE
2.65;15.04;42.48;292;1.8;7.96;1.77;1.925;FALSE
40;40;0;400;0;20;0;1.9;FALSE
0.81;0;10.57;49;0.8;0;4.07;4.65875;FALSE
9.09;3.41;68.18;364;2.3;2.27;6.82;4.801;FALSE
10.13;5.7;49.37;291;2.5;2.53;5.06;4.98525;FALSE
0;0;55.56;222;0;0;52.78;0;FALSE
0;5.88;29.41;176;0;0;17.65;1.7205;FALSE
0;0;26.67;100;0;0;23.33;1.4755;FALSE
8.89;0;80;356;4.4;0;4.44;6.4585;TRUE
4.08;4.08;24.49;163;0;3.06;18.37;1.64275;FALSE
4.08;5.1;26.53;163;0;3.06;18.37;1.54075;FALSE
10.53;9.21;14.47;211;0;4.61;0;4.45325;FALSE
16.67;23.33;3.33;300;0;15;3.33;0.843;FALSE
10.23;15.91;19.32;250;0;3.41;1.14;3.8575;FALSE
7.58;10.61;6.06;144;1.5;3.79;0.76;4.2785;FALSE
0;0;26.67;117;3.3;0;23.33;2.13125;FALSE
1.6;3.2;5.6;56;0.8;0.4;4.8;4.246;FALSE
10.71;7.14;50;286;7.1;3.57;3.57;5.813;FALSE
6.9;34.48;55.17;552;0;20.69;55.17;0;FALSE
4.68;6.38;26.6;177;2.7;0.85;1.99;5.04875;FALSE
5.88;9.41;25.88;200;2.4;1.18;0;5.076;FALSE
28.57;21.43;3.57;286;0;12.5;0;3.946;FALSE
16.07;4.46;5.36;125;0;0.89;1.79;6.44225;TRUE
4.76;30.95;50;500;2.4;19.05;42.86;0;FALSE
4.76;28.57;35.71;429;2.4;10.71;0;0.55225;FALSE
1.2;0;7.23;36;1.2;0;3.61;4.8695;FALSE
17.65;15.29;7.06;235;1.2;5.29;3.53;4.44775;FALSE
0.72;0.36;11.59;43;3.6;0;6.52;4.80325;FALSE
10;5;70;375;2.5;0;7.5;5.28125;FALSE
21.43;51.79;17.86;589;10.7;3.57;5.36;3.33175;FALSE
6.67;3.33;73.33;333;3.3;0;3.33;5.74475;FALSE
6.67;0;66.67;333;0;0;0;5.91725;FALSE
23.46;16.05;2.47;247;0;6.17;0;5.30975;FALSE
23.46;17.28;6.17;284;0;6.17;0;5.1775;FALSE
3.03;0;18.18;91;6.1;0;12.12;4.83375;FALSE
0.44;0;1.32;7;0.4;0;0.44;5.07825;FALSE
0.41;0.21;3.73;25;0.4;0;0.83;4.98975;FALSE
0.43;0;2.14;17;0.4;0;1.71;4.88375;FALSE
0.61;0;8.48;36;1.2;0;0.61;5.231;FALSE
15.56;20;2.22;244;0;8.89;2.22;2.7175;FALSE
0;7.14;3.57;89;0;0;0;4.26375;FALSE
2.4;0;8;40;2.4;0;2.4;5.47;FALSE
1.64;0;4.92;25;1.6;0;3.28;5.06775;FALSE
0.8;0.8;11.2;64;0.8;0;5.6;4.344;FALSE
0.83;0;4.13;21;0.8;0;2.48;4.90725;FALSE
8.57;7.14;74.29;400;2.9;7.14;68.57;0;FALSE
9.41;12.94;30.59;271;2.4;4.12;1.18;4.32275;FALSE
1.61;9.68;9.68;129;0;0.81;3.23;3.55425;FALSE
7.41;10.19;24.07;222;0.9;1.85;0.93;4.615;FALSE
17.86;3.57;3.57;89;0;1.79;0;6.85225;TRUE
7.14;25;67.86;500;7.1;1.79;0;4.4185;FALSE
0;0;19.23;77;1.5;0;13.08;3.31875;FALSE
1.18;0;28.24;118;1.2;0;23.53;1.858;FALSE
7.5;1.25;77.5;350;2.5;;;6.4125;TRUE
0.42;0.21;8.33;38;1.7;0;3.33;4.873;FALSE
1.22;0;6.12;29;0.8;0;1.22;5.15275;FALSE
0;20;60;400;0;10;10;0;FALSE
9.38;3.12;50;250;3.1;0;3.12;6.1845;TRUE
8.77;3.51;52.63;281;1.8;0;7.02;5.20125;FALSE
8.77;3.51;52.63;281;1.8;0;7.02;5.20125;FALSE
10.84;2.41;68.67;337;7.2;0;1.2;7.56075;TRUE
3.33;3.33;43.33;233;6.7;0;3.33;5.94875;FALSE
7.14;5.71;52.86;300;2.9;2.14;2.86;5.041;FALSE
1.67;0.83;5;25;1.7;0;3.33;5.00175;FALSE
3.08;3.85;30.77;185;0;2.31;23.08;0.99125;FALSE
0;0;27.27;109;0;0;21.82;1.69975;FALSE
3.33;7.5;23.33;167;0;5;21.67;0.20725;FALSE
2.15;11.83;25.81;215;0;7.53;21.51;0;FALSE
9.02;8.24;4.31;129;1.6;3.14;1.18;4.85475;FALSE
9.02;7.45;3.14;118;1.2;2.75;1.18;4.954;FALSE
0;0;3.57;36;0;0;0;4.991;FALSE
8.24;5.88;8.24;118;1.2;4.12;3.53;4.299;FALSE
6.25;3.75;19.38;138;1.2;0.62;7.5;4.488;FALSE
4;24;44;400;0;4;24;0;FALSE
3.57;42.86;10.71;429;0;28.57;7.14;0;FALSE
3.57;39.29;10.71;393;0;25;7.14;0;FALSE
21.43;21.43;3.57;286;0;10.71;3.57;2.787;FALSE
23.46;16.05;2.47;247;0;6.17;0;5.30975;FALSE
0.83;0;8.33;33;2.5;0;3.33;5.11675;FALSE
3.53;18.82;56.47;412;1.2;7.06;40;0;FALSE
6;12;70;420;4;2;32;0.095;FALSE
4;18;70;460;4;5;34;0;FALSE
2.99;14.93;62.69;403;4.5;4.48;44.78;0;FALSE
2.99;16.42;65.67;418;1.5;5.22;47.76;0;FALSE
3.85;17.31;57.69;385;1.9;13.46;46.15;0;FALSE
7.14;28.57;7.14;250;0;12.5;3.57;0;FALSE
0;64.29;7.14;643;0;35.71;0;0;FALSE
7.14;16.21;71.43;464;7.1;6.36;0;4.164;FALSE
12.94;9.41;3.53;176;0;1.76;3.53;4.9865;FALSE
4.17;0.42;12.5;75;3.3;0.17;0.83;6.05775;TRUE
4.26;14.18;24.82;241;0.7;9.22;21.99;0;FALSE
12;16;62;440;8;3;14;3.84;FALSE
